,RawData,TradeDate,TradeTime,TradeSequenceNumber,SessionIndicator,TickerSymbol,FOIIndicator,DeliveryDate,TradeQuantity,StrikePrice,StrikePriceDecimalLocator,Ask/BidType,IndicativevQuoteType,MarketQuote,Close/OpenType,ValidOpenException,PostClose,CancelCodetype,InsertCodeType,Fast/LateIndicator,CabinetIndicator,BookIndicator,EntryDate
90,2020031216593824503712ECL F200400000       000033122 I          200311,20200312,165938,24503712,E,CL ,F,2004,00000,0003312,2, ,I, , ,  , , , , , , ,200311
91,2020031216594024503715ECL F200400009       000033122A M         200311,20200312,165940,24503715,E,CL ,F,2004,00009,0003312,2,A, ,M, ,  , , , , , , ,200311
92,2020031216594024503715ECL F200400009       000033122A M         200311,20200312,165940,24503715,E,CL ,F,2004,00009,0003312,2,A, ,M, ,  , , , , , , ,200311
93,2020031216594024503716ECL F200400000       000033122 I          200311,20200312,165940,24503716,E,CL ,F,2004,00000,0003312,2, ,I, , ,  , , , , , , ,200311
94,2020031216594424503718ECL F200400009       000033122A M         200311,20200312,165944,24503718,E,CL ,F,2004,00009,0003312,2,A, ,M, ,  , , , , , , ,200311
95,2020031216594424503718ECL F200400014       000033122A M         200311,20200312,165944,24503718,E,CL ,F,2004,00014,0003312,2,A, ,M, ,  , , , , , , ,200311
96,2020031216594624503719ECL F200400015       000033122A M         200311,20200312,165946,24503719,E,CL ,F,2004,00015,0003312,2,A, ,M, ,  , , , , , , ,200311
97,2020031216594624503719ECL F200400009       000033122A M         200311,20200312,165946,24503719,E,CL ,F,2004,00009,0003312,2,A, ,M, ,  , , , , , , ,200311
98,2020031216594824503721ECL F200400009       000033122A M         200311,20200312,165948,24503721,E,CL ,F,2004,00009,0003312,2,A, ,M, ,  , , , , , , ,200311
99,2020031216594824503721ECL F200400016       000033122A M         200311,20200312,165948,24503721,E,CL ,F,2004,00016,0003312,2,A, ,M, ,  , , , , , , ,200311
